Country,Continent,Population,GPD per capita,"Birth rate, crude (per 1,000 people)","Contraceptive prevalence, any methods (% of women ages 15-49)","Death rate, crude (per 1,000 people)","Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)"
Myanmar,Asia,54336138,1379.818345,17.615,52.2,8.185,66.744,38.5
Namibia,Africa,2641996,5325.897541,28.723,56.1,7.074,64.85,31.8
Nauru,Oceania,11260,10124.33393,--,35.6,--,--,27.3
Nepal,Asia,29942018,960.1891229,19.49,52.6,6.243,70.604,27.8
Netherlands,Europe,17132908,58062.00559,9.9,73,8.8,81.5609756,3.3
New Caledonia,Oceania,283376,33332.79759,14.5,--,5.5,77.1487805,--
New Zealand,Oceania,4792409,49104.32311,12.43,75,6.95,81.6585366,4.4
Nicaragua,Americas,6351157,2440.34276,19.104,80.4,4.8,75.653,14.8
Niger,Africa,23176691,462.4042319,47.838,18.9,9.478,60.422,48.3
Nigeria,Africa,200962417,2366.442478,38.4,13.4,12.164,53.875,64.6
North Korea,Asia,25727408,652.5570641,13.797,78.2,8.953,71.887,14.4
North Macedonia,Europe,2086720,6663.088483,11.237,40.2,9.856,75.851,12
Norway,Europe,5400916,85203.50992,10.7,88.4,7.7,82.5097561,2.1
Oman,Asia,5001875,17120.77971,17.854,29.7,2.498,77.258,9.7
Pakistan,Asia,204596442,1380.796289,27.7,34.2,7.228,66.629,61.2
Palau,Oceania,22206,15356.21003,12.4,22.26,10.3,69.1292683,13.2
Palestine,Asia,5186790,2582.927013,31.409,57.2,3.482,73.646,17.9
Panama,Americas,4226197,17124.3792,19.218,62.8,5.04,78.195,13.9
Papua New Guinea,Oceania,8586525,3192.327513,27.298,32.4,7.094,65.705,41.8
Paraguay,Americas,6981981,4957.761988,20.746,68.4,5.776,73.211,17.9
Peru,Americas,32933835,7491.201678,18.936,76.2,5.658,75.22,11.6
Philippines,Asia,108106310,3290.686732,22.975,54.3,6.547,69.238,22.2
Poland,Europe,38028278,17091.8599,10.6,50.6,10.6,77.8512195,4
Portugal,Europe,10254666,25388.73524,8.4,73.9,10.6,81.1243902,3.1
Puerto Rico,Americas,3654978,26533.67544,7.3,84.1,8.9,79.9736341,--
Qatar,Asia,2743901,70668.00151,9.988,37.5,1.56,78.331,6.5
Republic of the Congo,Africa,5542197,1970.879058,34.059,30.1,7.136,65.088,34.7
Romania,Europe,19483360,13614.95143,9.7,69.8,13.3,75.3097561,6.6
Russia,Europe,143895551,12191.41237,12.9,68,12.9,72.1190244,6.5
Rwanda,Africa,12794412,823.171866,30.441,53.2,5.835,67.496,28.9
Saint Kitts and Nevis,Americas,56345,18173.751,11.9,54,7.6,71.3365854,11.6
Saint Lucia,Americas,180454,10113.3807,11.975,55.5,7.529,75.696,14.9
Saint Vincent and the Grenadines,Americas,110488,7883.209036,15.246,48,7.258,73.294,14.9
Samoa,Oceania,198909,4625.230633,24.316,26.9,4.972,75.24,14.2
San Marino,Europe,33683,55339.48876,7.9,--,7.6,85.4170732,2
Sao Tome and Principe,Africa,213379,2291.696934,33.361,40.6,6.583,66.762,25.2
Saudi Arabia,Asia,34140662,22237.96949,19.185,24.6,3.581,74.72,6.3
Senegal,Africa,16743859,1297.31145,34.973,27.8,5.745,67.477,32.7
Serbia,Europe,8733407,5874.454265,9.2,58.4,14.8,76.0878049,5
Seychelles,Africa,95702,17335.06092,17.2,--,7.8,74.3,12.2
Sierra Leone,Africa,7883123,504.3686366,34.44,16.6,12.509,52.214,81.7
Singapore,Asia,5868104,62674.92873,8.9,62,5,82.895122,2.2
Sint Maarten,Americas,40939,26186.93761,14.1,--,4.6,73.0536585,--
Slovakia,Europe,5450987,21991.43018,10.7,79.8,9.9,77.1658537,4.6
Slovenia,Europe,2081900,29126.27888,9.8,78.9,9.9,81.1756098,1.7
Solomon Islands,Oceania,635254,2303.015802,28.198,29.3,4.7,71.006,17.6
Somalia,Africa,15636171,525.0646082,43.055,14.6,11.11,56.714,79.7
South Africa,Africa,58065097,6662.401683,20.655,54.6,9.58,63.404,28.8
South Korea,Asia,51339238,34625.56262,7,79.6,5.6,82.6268293,2.8
South Sudan,Africa,13263184,211.6384723,35.56,4,10.731,57.288,62.5
Spain,Europe,46441049,34104.95745,8.4,70.9,9,83.3292683,2.6
Sri Lanka,Asia,21018859,4741.028045,15.002,61.7,6.991,75.485,7.5
Sudan,Africa,42514094,1949.64512,32.555,12.2,7.359,64.698,43.7
Suriname,Americas,573085,7374.124257,17.983,47.6,7.377,71.523,17.5
Swaziland,Africa,1415414,3281.01884,28.415,66.1,9.383,58.268,40.8
Sweden,Europe,10053135,62547.85199,11.5,75.2,9.1,82.3073171,2.3
Switzerland,Europe,8608259,90532.47585,10.3,72.9,7.9,83.602439,3.7
Syria,Asia,18499181,1198.057099,20.906,53.9,5.371,70.963,14
Tajikistan,Asia,9292000,879.8966853,28.275,29.3,5.127,71.214,29.4
Tanzania,Africa,60913557,1012.254136,37.752,38.4,6.494,66.31,38.3
Thailand,Asia,69306160,7504.008302,10.098,78.4,7.999,75.498,8.2
Timor-Leste,Asia,1352360,2239.788222,34.642,26,5.424,69.199,40.8
Togo,Africa,8186384,742.4523453,33.545,19.9,8.569,60.477,49.2
Tonga,Oceania,110041,4125.734953,23.625,34.1,5.963,73.179,13.7
Trinidad and Tobago,Americas,1375443,16382.35827,13.253,40.3,9.743,70.783,23.1
Tunisia,Africa,11783168,3560.672308,17.865,62.5,6.323,75.943,11.2
Turkey,Europe,82961805,11591.53902,15.954,73.5,5.83,76.009,10
Turkmenistan,Asia,5942561,7808.249676,24.614,50.2,7.057,67.956,40.6
Turks and Caicos Islands,Americas,36461,25165.25855,--,--,--,--,--
Tuvalu,Oceania,11393,3949.793733,--,30.5,--,--,21
Uganda,Africa,45711874,649.5030153,41.663,38.4,8.528,60.182,35.4
Ukraine,Europe,43795220,2893.489289,9.4,65.4,14.5,71.7809756,7.5
United Arab Emirates,Asia,9682088,44187.78264,9.328,27.5,1.635,77.412,7.8
United Kingdom,Europe,66959016,45140.74699,11.4,84,9.2,81.1560976,3.7
United States,Americas,329093110,65058.27485,11.8,72.7,8.5,78.5390244,5.7
Uruguay,Americas,3482156,19168.87124,13.928,79.6,9.378,77.645,7
Uzbekistan,Asia,32807368,1459.794032,22.1,64.9,5,71.42,20
Vanuatu,Oceania,288017,3555.345691,25.524,49,4.772,72.334,22.6
Venezuela,Americas,32779868,2819.321908,18.735,75,5.652,74.726,25.7
Vietnam,Asia,97429061,2719.301585,16.45,75.7,5.837,76.454,16.7
Yemen,Asia,29579986,589.9935179,31.027,33.5,6.374,65.157,43.2
Zambia,Africa,18137369,1500.603533,37.833,49,7.604,62.255,41.5
Zimbabwe,Africa,17297495,1217.922017,32.318,66.8,7.852,61.712,36.5
